 [1] "N" "I" "M" "W" "O" "S" "J" "X" "A" "F"
          N     I     M     W     O     S     J     X     A     F
 [1,]  75.9 102.7 129.0 113.1  96.4 108.3  96.2  93.3  83.1  45.4
 [2,] 105.5  90.2  78.6 151.0  96.6  90.5  84.4 127.9  94.8  98.0
 [3,] 121.7  91.2  82.9  99.3  72.6 101.3 141.2 112.7  91.7 119.5
 [4,]  53.1 109.2  94.4  86.6  96.5  90.0 115.0  97.8  96.3 108.3
 [5,] 108.6  86.1  80.1  99.8 117.0  83.5 136.5 110.3 108.1 118.2
 [6,] 110.1  71.0  80.6 135.5 114.0 103.3 101.6 108.0 112.5 139.7
 [7,]  88.5 111.5  77.9  77.2 111.0  82.1  87.4 133.3 133.6 123.4
 [8,]  89.1  79.5  75.0 127.4  91.9 103.4  69.7 105.5  98.6  89.8
 [9,]  88.7  99.7  89.5 126.6  96.2 107.1  87.3 110.1  93.6 114.1
[10,]  82.2  81.3  90.1 106.7  76.1  99.0 104.5 107.0 129.4  96.0
[11,]  90.5 122.0  63.9 100.1  98.9  96.1 120.3  92.5 134.1  89.2
[12,]  80.0  90.5  88.4  90.9 105.1  87.0 105.1 102.0 100.9  42.9
[13,]  84.5  85.8  77.8  92.7 134.1  77.8  76.6 132.8  93.3  84.2
[14,] 101.3  90.0  79.7 113.0 120.0 117.0 113.4  82.5  63.6 109.8
[15,] 119.2  67.4  96.8 141.4  90.1 100.4  67.0 102.4 128.2 143.4
[16,]  97.8  76.6 111.3  96.9 107.1 116.6  92.7 127.2  83.2 110.0
[17,]  89.8  56.4 133.0  72.2  77.3  75.1  93.7  95.3  77.5 112.4
[18,]  81.8  73.2  84.5  85.5 117.6 103.4  61.0  78.9 160.9  80.7
[19,]  83.3  94.1 132.1 105.2 119.5 113.5 118.4  82.6 104.7 103.3
[20,] 148.3  90.7  76.8  93.7 142.4  99.5  87.5  92.2  99.3  58.4
[1] "zmat1"
               N           I           M           W           O          S
 [1,] -0.9421373  0.89971490  1.90427422  0.34483182 -0.41315366  0.8570902
 [2,]  0.5183112  0.11021429 -0.62939581  2.12052826 -0.40230973 -0.5883106
 [3,]  1.3176107  0.17337433 -0.41322952 -0.30172784 -1.70358110  0.2886741
 [4,] -2.0670774  1.31025522  0.16488964 -0.89675013 -0.40773169 -0.6289117
 [5,]  0.6712636 -0.14874192 -0.55398896 -0.27830177  0.70377093 -1.1567266
 [6,]  0.7452728 -1.10245866 -0.52885335  1.39431995  0.54111201  0.4510787
 [7,] -0.3204599  1.45552333 -0.66458567 -1.33716033  0.37845309 -1.2704098
 [8,] -0.2908562 -0.56559824 -0.81037224  1.01481755 -0.65714204  0.4591990
 [9,] -0.3105920  0.71023475 -0.08143939  0.97733583 -0.42399759  0.7596474
[10,] -0.6312986 -0.45191015 -0.05127666  0.04497806 -1.51381236  0.1019089
[11,] -0.2217809  2.11870385 -1.36838290 -0.26424612 -0.27760456 -0.1335778
[12,] -0.7398454  0.12916230 -0.13673775 -0.69528589  0.05855721 -0.8725186
[13,] -0.5178178 -0.16768993 -0.66961279 -0.61095202  1.63092678 -1.6195797
[14,]  0.3110854  0.09758228 -0.57409745  0.34014660  0.86642985  1.5635501
[15,]  1.1942620 -1.32983484  0.28554059  1.67074763 -0.75473739  0.2155921
[16,]  0.1383972 -0.74876238  1.01447343 -0.41417300  0.16699649  1.5310692
[17,] -0.2563186 -2.02459538  2.10535914 -1.57142108 -1.44874879 -1.8388259
[18,] -0.6510344 -0.96350655 -0.33279555 -0.94828750  0.73630271  0.4591990
[19,] -0.5770252  0.35653848  2.06011503 -0.02530016  0.83932003  1.2793421
[20,]  2.6300408  0.14179431 -0.71988402 -0.56409987  2.08094979  0.1425100
                J           X           A           F
 [1,] -0.08131009 -0.70199311 -0.92162537 -1.97475739
 [2,] -0.62185038  1.42581781 -0.41466642 -0.04887923
 [3,]  1.98007238  0.49105694 -0.54898888  0.73831432
 [4,]  0.77988970 -0.42525470 -0.34967168  0.32824140
 [5,]  1.76477243  0.34346312  0.16162025  0.69071657
 [6,]  0.16605581  0.20201904  0.35227147  1.47791012
 [7,] -0.48442488  1.75790390  1.26653077  0.88110757
 [8,] -1.29523531  0.04827548 -0.25001309 -0.34911118
 [9,] -0.48900573  0.33116364 -0.46666221  0.54060059
[10,]  0.29890046  0.14052162  1.08454551 -0.12210653
[11,]  1.02267474 -0.75119105  1.28819568 -0.37107938
[12,]  0.32638556 -0.16696551 -0.15035449 -2.06629152
[13,] -0.97915667  1.72715519 -0.47966116 -0.55414764
[14,]  0.70659610 -1.36616530 -1.76655695  0.38316188
